ID,Name,Join Date,Leave Date
HexT,Jadan Postma,2023-06-24,
da bears,Erik Stromberg,2006-??-??,2006-??-??
tr1p,Corey Dodd,2007-01-12,2007-06-11
In_Flames,Kirt Kolach,2002-??-??,2002-??-??
blackpanther,Robert Tyndale,2003-??-??,2006-??-??
NineSpot,Ryan Bell,2008-??-??,2008-??-??
blackpanther,Robert Tyndale,2007-06-20,2008-??-??
evolution,Scott Cavallero,2008-03-08,2008-08-05
shaGuar,Griffin Benger,2005-??-??,2005-??-??
junior,Paytyn Johnson,2023-06-24,
mug,Ronan Ryan,2002-??-??,2002-??-??
Axed,Tommy Ryan,2023-06-24,
evolution,Scott Cavallero,2008-10-29,2008-12-14
lurppis,Tomi Kovanen,2009-04-20,2010-12-23
elude,Jon Gilbert,2007-10-22,2008-??-??
Grt,Garett Bambrough,2007-01-12,2007-06-11
Brehze,Vincent Cayonte,2019-09-26,Inactive Date:2023-06-24
zews,Wilton Prado,2020-04-10,Inactive Date:2021-06-02
Ethan,Ethan Arnold,2019-09-26,
fRoD,Danny Montaner,2008-12-14,2011-07-28
Jeorge,Jeorge Endicott,2023-06-24,
autimatic,Timothy Ta,2022-01-19,
wiz,Jerric Jiang,2023-01-15,Inactive Date:2023-06-24
Stewie2K,Jacky Yip,2022-01-18,
Nepo,Fadil Canovic,2008-08-05,2008-10-29
tarik,Tarik Celik,2019-09-26,Inactive Date:2021-04-15
n0thing,Jordan Gilbert,2008-03-08,2012-01-07
stanislaw,Peter Jarguz,2019-09-26,
thoMz,Thomas Garcia,2011-11-04,2012-01-07
ImAPet,Chet Singh,2019-09-26,
quickshot,Jesse Stevenson,2007-06-20,2008-??-??
Funk,David Funk,2002-??-??,2002-??-??
HexT,Jadan Postma,2022-08-02,
evolution,Scott Cavallero,2008-??-??,2008-??-??
oslen,,2002-??-??,2002-??-??
cole,Austin Townley,2007-06-20,2007-10-22
neaLaN,Sanzhar Iskhakov,2022-08-02,Inactive Date:2023-06-24
hostile,Shaun Catron,2008-09-06,2008-12-14
In_Flames,Kirt Kolach,2003-??-??,2005-??-??
LaRi,Pasha Lari,200?-??-??,2007-06-11
royle,Ian Royle,2007-06-20,2008-??-??
cbz,Charlie Pyo,2007-06-20,2008-??-??
da bears,Erik Stromberg,2007-06-20,2008-??-??
Lin,Jimmy Lin,2005-??-??,2006-??-??
RUSH,William Wierzba,2022-01-20,Inactive Date:2022-08-02
Irukandji,Andrew Timmerman,2010-12-23,2012-01-07
Vorborg,Daniel Vorborg,2022-08-02,Inactive Date:2023-06-23
RUSH,William Wierzba,2023-06-24,
daps,Damian Steele,2021-06-21,Inactive Date:2021-12-24
CeRq,Tsvetelin Dimitrov,2019-09-26,
refrezh,Ismail Ali,2023-04-11,Inactive Date:2023-06-24
Walco,Colby Walsh,2023-06-24,
oBo,Owen Schlatter,2021-03-05,
goodfornothing,Ediz Basol,2009-11-19,2010-09-25
steno,Nazar Vynnyckyj,2008-03-08,2008-12-14
MICHU,Michał Müller,2021-04-15,
evaN,Evan Ahlberg,2007-??-??,2008-??-??
shaGuar,Griffin Benger,2007-01-15,2007-06-11
dboorN,Derek Boorn,2010-09-25,2012-01-07
Phage,Vunya Griffith,2002-??-??,2002-??-??
hanes,Corey Hanes,2008-12-14,2009-04-20
Red Dragon,Pasha Lari,2005-??-??,2005-??-??
hero,Jeff Mettetal,2011-07-28,2011-11-04
Warden,Matt Dickens,2008-12-14,2009-11-14
Bechdholt,Scott Bechdholt,2004-??-??,2004-??-??
maLeK,Damien Marcel,2021-12-24,Inactive Date:2022-05-10
pauLy,Paul Guerboyan,2011-07-28,2012-01-02
Stevenson,Matt Stevenson,200?-??-??,2007-06-11
chE,Michael Guevara,2008-03-08,2008-12-14
Storm,Tyler Wood,2008-12-14,2011-07-28
