ID,Name,Join Date,Leave Date
SumaiL,Sumail Hassan,2016-09-15,-
Fly,Tal Aizik,2022-05-29,2022-11-15
Wisper,Adrián Céspedes Dobles,2022-11-23,2023-11-01
UNiVeRsE,Saahil Arora,2013-09-19,-
RAMZES666,Roman Kushnarev,2019-09-16,Inactive Date:2020-11-06
SumaiL,Sumail Hassan,2015-01-07,2016-08-28
Chris Luck,Jean Pierre Gonzales Salazar,2022-11-23,2023-11-01
Aui_2000,Kurtis Ling,2015-01-07,2015-08-14
UNiVeRsE,Saahil Arora,2013-09-19,2016-03-22
MISERY,Rasmus Filipsen,2017-12-20,2018-05-27
Bdiz,Robert Tinnes,2012-10-19,2013-09-19
zai,Ludwig Wåhlberg,2014-02-21,-
Fly,Tal Aizik,2018-05-28,-
s4,Gustav Magnusson,2018-05-28,Inactive Date:2019-09-16
ppd,Peter Dager,2014-02-21,2016-09-15
Fear,Clinton Loomis,2014-08-22,-
BuLba,Sam Sosale,2012-05-08,2012-09-12
Panda,Jose Padilla,2022-11-23,2023-11-01
UNiVeRsE,Saahil Arora,2016-06-09,2017-12-20
mason,Mason Venne,2014-06-02,2014-07-28
DeMoN,Jimmy Ho,2011-10-24,-
Abed,Abed Yusop,2019-09-16,2022-11-15
zai,Ludwig Wåhlberg,2016-09-15,2017-08-30
Arteezy,Artour Babaev,2015-08-14,2016-03-22
Maelk,Jacob Toft-Andersen,2012-02-03,-
Suma1L,Sumail Hassan,2016-09-15,-
Fear,Clinton Loomis,2011-10-24,2014-05-28
Lacoste,Dominik Stipic,2012-02-03,2012-05-08
JerAx,Jesse Vainikka,2021-11-20,2022-05-24
ppd,Peter Dager,2014-02-21,-
Matthew,Farith Puente,2022-11-23,2023-11-01
Pajkatt,Per Anders Olsson Lille,2011-10-24,2012-01-13
Fear,Clinton Loomis,2011-10-24,-
zai,Ludwig Wåhlberg,2016-06-13,2016-08-27
s4,Gustav Magnusson,2018-05-28,2019-09-16
Fear,Clinton Loomis,2014-08-22,2016-09-14
Cr1t-,Andreas Nielsen,2016-09-15,-
SexyBamboe,Alaan Faraj,2013-05-01,2013-09-19
Arteezy,Artour Babaev,2014-02-21,2015-01-07
BuLba,Kanishka Sosale,2016-03-25,2016-06-09
Pakazs,Crhistian Savina,2022-11-23,2023-11-01
Jeyo,Jio Madayag,2012-10-19,-
Arteezy,Artour Babaev,2016-09-15,-
s4,Gustav Magnusson,2018-05-28,-
SumaiL,Sumail Hassan,2016-09-15,Inactive Date:2019-09-16
zai,Ludwig Wåhlberg,2015-08-30,2016-05-24
SumaiL,Sumail Hassan,2015-01-07,-
UNiVeRsE,Saahil Arora,2012-05-08,2012-09-12
Cr1t-,Andreas Nielsen,2016-09-15,2022-11-15
zai,Ludwig Wåhlberg,2014-02-21,2015-01-07
Maelk,Jacob Toft-Andersen,2012-02-03,2013-05-01
PlaymatE,Amel Barudzija,2011-10-24,2012-05-08
UNiVeRsE,Saahil Arora,2016-06-09,-
Fear,Clinton Loomis,2017-09-01,2018-05-27
MSS,Arif Anwar,2013-09-19,2014-02-21
iceiceice,Daryl Koh Pei Xiang,2020-11-14,2021-11-17
MiSeRy,Rasmus Berth Filipsen,2011-10-24,2012-05-08
Arteezy,Artour Babaev,2016-09-15,2022-11-15
Abed,Abed Yusop,2019-09-16,-
Fly,Tal Aizik,2018-05-28,2021-11-16
DeMoN,Jimmy Ho,2011-10-24,2013-09-19
Jeyo,Jio Madayag,2012-10-19,2014-02-11
SumaiL,Sumail Hassan,2016-09-15,2019-09-16
Arteezy,Artour Babaev,2014-02-21,-
Nightfall,Egor Grigorenko,2021-11-20,2022-11-15
Fogged,Ioannis Loucas,2013-09-19,2014-02-21
Aui_2000,Kurtis Ling,2016-03-25,2016-06-13
