Date,Tournament,Prize Winnings
2015-02-04,Gamers for Giving 2015,"$6,000"
2015-03-08,Halo Championship Series Season 1: Finals,"$50,000"
2016-01-31,X Games Aspen 2016,"$15,000"
2015-05-31,Halo Championship Series Season 2: Legendary Cup 4,"$1,500"
2015-02-04,Halo Championship Series Season 1: HCS Points,-
2015-04-19,Iron Games Atlanta 2015,"$10,000"
2016-04-24,HCS Pro League NA 2016 Summer: Invite Qualifier,-
2015-05-24,Halo Championship Series Season 2: Legendary Cup 3,"$1,500"
2015-02-15,Halo Championship Series Season 1: Cup 7,$750
2015-07-26,Halo Championship Series Season 2: Finals,"$75,000"
2015-06-21,Halo Championship Series Season 2: Legendary Cup 7,"$1,500"
2015-06-07,Halo Championship Series Season 2: Legendary Cup 5,"$1,500"
2015-02-08,Halo Championship Series Season 1: Cup 6,$750
2014-12-07,Halo Championship Series Season 1: Cup 1,$750
2015-06-28,Halo Championship Series Season 2: HCS Points,-
2015-05-17,Halo Championship Series Season 2: Legendary Cup 2,"$1,500"
2015-06-28,PGL Indianapolis 2015,"$20,000"
2015-07-12,Halo Championship Series Season 2: Open,"$1,500"
