ID,Name,Join Date,Leave Date
Kaori,Muhammed Hasan Şentürk,2022-09-07,2023-01-09
yellowpete,Peter Wüppen,2013-01-26,2014-05-22
Altec,Johnny Ru,2014-05-22,2015-01-07
Pobelter,Eugene Park,2013-12-12,2015-01-07
Krepo,Mitch Voorspoels,2013-01-26,2014-10-23
Danny,Kyle Sakamaki,2021-05-14,2022-09-06
Helios,Shin Dong-jin,2014-06-10,2015-01-07
Impact,Jeong Eon-young,2020-12-02,2022-11-20
Armao,Jonathan Armao,2023-06-12,2023-07-23
Jiizuke,Daniele di Mauro,2019-12-05,2021-11-16
Contractz,Juan Arturo Garcia,2021-07-21,2021-11-16
Vulcan,Philippe Laflamme,2021-11-16,2023-04-29
Inspired,Kacper Słoma,2021-11-22,2023-04-29
shacker,Mojtaba Aflaton,2013-07-15,2013-09-03
InnoX,Tyson Kapler,2013-12-12,2014-11-24
Huni,Heo Seung-hoon,2020-07-17,2020-11-30
Sheiden,Jade Libut,2023-07-20,2023-11-20
Kumo,Colin Zhao,2019-11-26,2020-07-17
IgNar,Lee Dong-geun,2020-11-21,2022-01-17
Deftly,Matthew Chen,2020-12-01,2021-05-14
UNF0RGIVEN,William Nieminen,2023-06-12,2023-11-20
Danny,Kyle Sakamaki,2022-09-06,2023-02-27
yellowpete,Peter Wüppen,2014-05-22,2015-01-07
Eyla,Bill Nguyen,2023-06-12,2023-11-20
Snoopeh,Stephen Ellis,2013-01-26,2014-10-20
Froggen,Henrik Hansen,2013-01-26,2013-12-10
Svenskeren,Dennis Johnsen,2019-11-19,2022-02-05
Bang,Bae Jun-sik,2019-11-22,2020-11-14
nRated,Christoph Seitz,2013-07-15,2013-09-03
Ssumday,Kim Chan-ho,2022-11-23,2023-04-29
Wickd,Mike Petersen,2013-01-26,2013-12-10
Goldenglue,Greyson Gilmer,2020-07-16,2020-11-14
Revenge,Mohamed Kaddoura,2023-06-12,2023-11-20
Zeyzal,Tristan Stidam,2019-11-20,2020-11-18
FBI,Victor Huang,2022-11-23,2023-04-29
Jojopyun,Joseph Pyun,2021-11-16,2023-11-20
