ID,Name,Join Date,Leave Date
Jaedong,Lee Jae Dong,2012-12-04,2016-10-31
aLive,Han Lee Seok,2013-03-27,2013-12-12
JYP,Park Jin Young,2011-12-29,2014-06-29
Machine,Bryce Bates,2009-04-11,2014-02-04
IdrA,Greg Fields,2010-09-08,2013-05-08
ThorZaIN,Marcus Sebastian Eklöf,2012-05-09,2017-01-01
HuK,Chris Loranger,2011-08-17,2017-01-01
iNcontroL,Geoff Robinson,2009-04-12,2017-01-01
PuMa,Lee Ho Joon,2011-07-25,2013-03-14
Tasteless,Nicolas Plott,2010-09-08,2011-03-30
Nyoken,Daniel Eidson,2009-04-11,201?-??-??
StrifeCro,Cong Shu,2010-06-30,2012-01-17
DeMusliM,Benjamin Baker,2011-01-04,2015-02-01
Xenocider,Libo Chang,2013-06-04,2017-01-01
Oz,Kim Hak Soo,2013-03-27,2013-12-12
Stephano,Ilyes Satouri,2012-09-09,2014-05-14
iNkA,Kelby Williams,2009-07-31,2011-01-31
Louder,David Fells,2009-04-30,201?-??-??
Revival,Kim Dong Hyun,2012-12-09,2013-12-12
Axslav,Nick Ranish,2010-06-30,2012-01-17
Suppy,Conan Liu,2012-07-24,2017-01-01
Grubby,Manuel Schenkhuizen,2011-02-10,2011-03-30
LzGaMeR,Jacob Winstead,2009-04-11,2013-02-03
