Date,Tournament,Prize Winnings
2011-02-06,ESL Major Series - Season VII,$204.37
2010-02-27,Zotac Cup 126,$136.31
2009-12-19,World e-Sports Masters 2009,"$14,000"
2010-09-25,Zotac Cup 156,$134.50
2009-10-04,World Cyber Games 2009 - Russia,"$1,500"
2009-07-11,GomTV World Invitational 2009,"$4,676.81"
2010-08-08,BlizzCon 2010 Europe Regional Finals,"$5,000"
2010-02-20,Zotac Cup 125,$136.15
2010-07-24,Zotac Cup 147,$129.13
2010-08-28,World Cyber Games 2010 - Netherlands,-
2010-10-09,Zotac Cup 158,$139.28
2010-06-12,Zotac Cup 141,$121.14
2009-05-30,Zotac Cup 88,$141.57
2010-10-16,Zotac Cup 159,$140.72
2010-02-21,GoodGame.ru Pro Challenge - 2010 - Final,$200
2009-07-26,World e-Sports Games: e-Stars 2009 King of the Game,"$5,623.14"
2009-11-27,ESL Pro Series Season III Benelux,$373.80
